Genres,Film Count,Average Ratings
"Adventure,Documentary,Fantasy",5,70
"Adventure,Documentary,Sci-Fi",5,61
"Adventure,Drama,Film-Noir",5,62.6
"Adventure,Family,Thriller",5,66.8
"Adventure,History,Mystery",5,62.8
"Adventure,History,Sci-Fi",5,66.4
"Adventure,Music,Musical",5,77.4
"Adventure,Music,Sci-Fi",5,60.2
"Adventure,Short,Sport",5,75.8
"Animation,Biography,Crime",5,73.2
"Biography,Comedy,Reality-TV",5,55.8
"Biography,Documentary,Game-Show",5,70.4
"Biography,Fantasy",5,77.2
"Comedy,Family,War",5,61.2
"Comedy,Fantasy,Sport",5,63.4
"Comedy,History,Reality-TV",5,77.2
"Comedy,Horror,Sport",5,50
"Comedy,Reality-TV,Sci-Fi",5,73
"Crime,Fantasy,Sci-Fi",5,65
"Crime,Film-Noir,Romance",5,66
"Crime,News,Thriller",5,73.2
"Documentary,Music,Mystery",5,71.4
"Drama,Fantasy,Sport",5,76.8
"Drama,Sci-Fi,Sport",5,60.6
"Drama,Sci-Fi,Western",5,59.4
"Family,Fantasy,War",5,78
"Family,History,Music",5,78.4
"Family,History,Short",5,71.4
"Family,Music,News",5,76.2
"Family,Music,Talk-Show",5,62.8
"Family,Reality-TV,Short",5,61.6
"Fantasy,Music,Mystery",5,72.8
"Fantasy,Music,Sci-Fi",5,71.4
"Fantasy,Musical,Mystery",5,72
"Game-Show,Mystery",5,65.6
"History,Mystery,Sci-Fi",5,75.4
"History,Sci-Fi,Short",5,68.6
"History,Sport",5,75.2
"Music,Mystery",5,58.2
"Music,Mystery,Romance",5,80
"Musical,Romance,Western",5,62
"Mystery,Western",5,59.2
"Romance,Short,War",5,74.2
"Sport,Thriller",5,44.6
"Action,Family,Music",6,72.6666666666667
"Action,Fantasy,Music",6,73.1666666666667
"Action,Fantasy,Musical",6,64.8333333333333
"Action,Romance,Sport",6,45.5
"Adult,Adventure,Horror",6,59.5
"Adult,Biography,Documentary",6,60.3333333333333
"Adult,History",6,60.1666666666667
"Adult,Horror,Mystery",6,55.6666666666667
"Adult,Sci-Fi,Thriller",6,67.5
"Adventure,Documentary,Romance",6,70.1666666666667
"Adventure,Family,War",6,62
"Adventure,Music,Short",6,66.6666666666667
"Animation,Comedy,Game-Show",6,70.3333333333333
